framework,category,standard,description
iste,1,1.a,"Apply existing knowledge to generate new ideas, products, or processes."
iste,1,1.b,Create original works as a means of personal or group expression.
iste,1,1.c,Use models and simulations to explore complex systems and issues.
iste,1,1.d,Identify trends and forecast possibilities.
iste,2,2.a,"Interact, collaborate, and publish with peers, experts, or others employing a variety of digital environments and media."
iste,2,2.b,Communicate information and ideas effectively to multiple audiences using a variety of media and formats.
iste,2,2.c,Develop cultural understanding and global awareness by engaging with learners of other cultures.
iste,2,2.d,Contribute to project teams to produce original works or solve problems.
iste,3,3.a,Plan strategies to guide inquiry.
iste,3,3.b,"Locate, organize, analyze, evaluate, synthesize, and ethically use information from a variety of sources and media."
iste,3,3.c,Evaluate and select information sources and digital tools based on the appropriateness to specific tasks.
iste,3,3.d,Process data and report results.
iste,4,4.a,Identify and define authentic problems and significant questions for investigation.
iste,4,4.b,Plan and manage activities to develop a solution or complete a project.
iste,4,4.c,Collect and analyze data to identify solutions and/or make informed decisions.
iste,4,4.d,Use multiple processes and diverse perspectives to explore alternative solutions.
iste,5,5.a,"Advocate and practice safe, legal, and responsible use of information and technology."
iste,5,5.b,"Exhibit a positive attitude toward using technology that supports collaboration, learning, and productivity."
iste,5,5.c,Demonstrate personal responsibility for lifelong learning.
iste,5,5.d,Exhibit leadership for digital citizenship.
iste,6,6.a,Understand and use technology systems.
iste,6,6.b,Select and use applications effectively and productively.
iste,6,6.c,Troubleshoot systems and applications.
iste,6,6.d,Transfer current knowledge to learning of new technologies.
